2014-01-02,188422,229611,82.06,442176,384576,114.98
2014-01-03,215957,203501,106.12,475053,441781,107.53
2014-01-06,183923,191312,96.14,501774,485695,103.31
2014-01-07,183588,177366,103.51,529909,507140,104.49
2014-01-08,207039,220804,93.77,498961,452383,110.30
2014-01-09,212585,218358,97.36,521316,493573,105.62
2014-01-10,135689,141374,95.98,542530,510274,106.32
2014-01-13,212366,220784,96.19,568776,510793,111.35
2014-01-14,181765,199316,91.19,592230,530930,111.55
2014-01-15,221699,297075,74.63,283679,263438,107.68
2014-01-16,147021,162351,90.56,333843,321368,103.88
2014-01-17,163470,167274,97.73,381554,362907,105.14
2014-01-20,157918,141564,111.55,408398,384326,106.26
2014-01-21,149517,149988,99.69,438245,417954,104.85
2014-01-22,162183,178234,90.99,368602,352703,104.51
2014-01-23,141635,158874,89.15,417771,395800,105.55
2014-01-24,141065,171474,82.27,456571,443357,102.98
2014-01-27,368839,397788,92.72,492129,527877,93.23
2014-02-05,456727,423124,107.94,436372,512356,85.17
2014-02-06,193042,206014,93.70,472818,558436,84.67
2014-02-07,244271,249582,97.87,527180,591001,89.20
2014-02-10,206150,201552,102.28,570323,618932,92.15
2014-02-11,185448,181780,102.02,606470,638771,94.94
2014-02-12,288640,347710,83.01,548739,584332,93.91
2014-02-13,168423,173103,97.30,581859,612688,94.97
2014-02-14,296789,319439,92.91,631427,613785,102.87
2014-02-17,205550,208754,98.47,665319,644256,103.27
2014-02-18,239783,246410,97.31,710572,663031,107.17
2014-02-19,196847,207091,95.05,320804,263816,121.60
2014-02-20,210723,192042,109.73,392249,340213,115.30
2014-02-21,197446,216134,91.35,439571,365985,120.11
2014-02-24,201840,180149,112.04,490773,403603,121.60
2014-02-25,152449,146555,104.02,524390,433365,121.00
2014-02-26,231216,225140,102.70,461205,372198,123.91
2014-02-27,124354,135775,91.59,498519,405727,122.87
2014-03-03,238042,234610,101.46,542279,455414,119.07
2014-03-04,169563,159254,106.47,566537,485733,116.64
2014-03-05,199132,203797,97.71,524002,419015,125.06
2014-03-06,300738,278948,107.81,611053,470680,129.82
2014-03-07,351999,372590,94.47,654643,510135,128.33
2014-03-10,213671,178719,119.56,680476,532824,127.71
2014-03-11,183525,178775,102.66,707731,550166,128.64
2014-03-12,256955,228341,112.53,614755,497696,123.52
2014-03-13,275510,270579,101.82,676556,519720,130.18
2014-03-14,203604,185210,109.93,697155,548010,127.22
2014-03-17,182525,171219,106.60,729954,566109,128.94
2014-03-18,197199,213708,92.27,760279,570451,133.28
2014-03-19,245967,259117,94.93,296192,261653,113.20
2014-03-20,268444,232930,115.25,381099,337984,112.76
2014-03-21,187517,172619,108.63,429402,383806,111.88
2014-03-24,261503,231299,113.06,476204,425108,112.02
2014-03-25,264413,251840,104.99,526898,434194,121.35
2014-03-26,254087,271684,93.52,458776,376037,122.00
2014-03-27,226603,211183,107.30,528483,424760,124.42
2014-03-28,229121,196232,116.76,590631,461709,127.92
2014-03-31,250206,182784,136.89,621002,473820,131.06
2014-04-01,271464,227764,119.19,658740,478003,137.81
2014-04-02,322459,319280,101.00,574543,434220,132.32
2014-04-03,162287,149554,108.51,616777,472188,130.62
2014-04-07,224665,165527,135.73,652481,494295,132.00
2014-04-08,227946,205279,111.04,679638,506869,134.09
2014-04-09,220193,187554,117.40,638556,453958,140.66
2014-04-10,264000,276994,95.31,694211,492267,141.02
2014-04-11,272170,248905,109.35,731051,530341,137.85
2014-04-14,176049,160025,110.01,754513,553207,136.39
2014-04-15,213760,210410,101.59,801380,565579,141.69
2014-04-16,259879,336129,77.32,357585,314127,113.83
2014-04-17,230491,159997,144.06,446030,367348,121.42
2014-04-18,215094,191434,112.36,490209,397270,123.39
2014-04-21,126025,92691,135.96,522115,417543,125.04
2014-04-22,197824,161668,122.36,551650,437431,126.11
2014-04-23,331915,262240,126.57,489787,390075,125.56
2014-04-24,157888,137814,114.57,539184,428158,125.93
2014-04-25,562655,458350,122.76,552052,494570,111.62
2014-04-28,422869,391105,108.12,610084,536769,113.66
2014-04-29,265461,260704,101.82,656260,540950,121.32
2014-04-30,448577,348011,128.90,581298,469086,123.92
2014-05-02,263730,198714,132.72,639126,496066,128.84
2014-05-05,256995,226765,113.33,674072,519404,129.78
2014-05-06,299591,270694,110.68,711857,530471,134.19
2014-05-07,322313,277973,115.95,631843,493910,127.93
2014-05-08,246359,202507,121.65,686234,513523,133.63
2014-05-09,217370,196119,110.84,706998,547012,129.25
